orden,apellido,nombre,genero,partido,partidoCorto,alineacion
1,OLIVETO LAGO,PAULA MARIANA,F,COALICIÓN CIVICA - AFIRMACIÓN PARA UNA REPUBLICA IGUALITARIA (ARI),COALICIÓN CIVICA - ARI,Ex oficialistas
2,SÁNCHEZ,FERNANDO,M,COALICIÓN CIVICA - AFIRMACIÓN PARA UNA REPUBLICA IGUALITARIA (ARI),COALICIÓN CIVICA - ARI,Ex oficialistas
3,PACE,MARÍA SILVIA,F,COALICIÓN CIVICA - AFIRMACIÓN PARA UNA REPUBLICA IGUALITARIA (ARI),COALICIÓN CIVICA - ARI,Ex oficialistas
4,ESSWEIN,FEDERICO,M,COALICIÓN CIVICA - AFIRMACIÓN PARA UNA REPUBLICA IGUALITARIA (ARI),COALICIÓN CIVICA - ARI,Ex oficialistas
5,MACCIONE,CAROLINA ANTONIA,F,COALICIÓN CIVICA - AFIRMACIÓN PARA UNA REPUBLICA IGUALITARIA (ARI),COALICIÓN CIVICA - ARI,Ex oficialistas
6,ROSATI DÍAZ,JUAN FRANCISCO,M,COALICIÓN CIVICA - AFIRMACIÓN PARA UNA REPUBLICA IGUALITARIA (ARI),COALICIÓN CIVICA - ARI,Ex oficialistas
7,MONSERRAT,NADIA JUDITH,F,COALICIÓN CIVICA - AFIRMACIÓN PARA UNA REPUBLICA IGUALITARIA (ARI),COALICIÓN CIVICA - ARI,Ex oficialistas
8,BENTIVENGA,HUGO VICENTE,M,COALICIÓN CIVICA - AFIRMACIÓN PARA UNA REPUBLICA IGUALITARIA (ARI),COALICIÓN CIVICA - ARI,Ex oficialistas
9,PALACIOS,MARÍA SOLEDAD,F,COALICIÓN CIVICA - AFIRMACIÓN PARA UNA REPUBLICA IGUALITARIA (ARI),COALICIÓN CIVICA - ARI,Ex oficialistas
10,MARTIODA CAMPOS,IGNACIO,M,COALICIÓN CIVICA - AFIRMACIÓN PARA UNA REPUBLICA IGUALITARIA (ARI),COALICIÓN CIVICA - ARI,Ex oficialistas
11,MESPLEDE,DANIELA BEATRIZ,F,COALICIÓN CIVICA - AFIRMACIÓN PARA UNA REPUBLICA IGUALITARIA (ARI),COALICIÓN CIVICA - ARI,Ex oficialistas
1,ADORNI,MANUEL,M,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,Libertarios
2,PELAYO,SOLANA AGUSTINA,F,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,Libertarios
3,PAKGOJZ,NICOLAS ALBERTO,M,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,Libertarios
4,FREGUIA,ANDREA,F,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,Libertarios
5,ARENAZA,JUAN PABLO,M,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,Libertarios
6,MONTENEGRO,LUCIA ELENA,F,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,Libertarios
7,SAIFERT,LEONARDO LUIS,M,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,Libertarios
8,FLEITAS,REBECA MARIA BELEN,F,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,Libertarios
9,VARTABEDIAN,DIEGO MANUEL,M,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,Libertarios
10,KIENAST,MARINA,F,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,Libertarios
11,FERNANDEZ,JUAN IGNACIO,M,LA LIBERTAD AVANZA,LA LIBERTAD AVANZA,Libertarios
1,CARUSO LOMBARDI,RICARDO DANIEL,M,MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,M.I.D,Libertarios
2,VILLAR,AGUSTINA,F,MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,M.I.D,Libertarios
3,ARANCIO,MIGUEL ANGEL,M,MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,M.I.D,Libertarios
4,LERNOUD,MARÍA DEL PILAR,F,MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,M.I.D,Libertarios
5,TESTORI SCHROEDER,PABLO CÉSAR LUCIANO,M,MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,M.I.D,Libertarios
6,RADICE,ANDREA CARLA,F,MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,M.I.D,Libertarios
7,VEGA,OSVALDO RUBÉN,M,MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,M.I.D,Libertarios
8,YOUNG,VALERIA VERÓNICA,F,MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,M.I.D,Libertarios
9,DEVITA,RODRIGO NAHUEL,M,MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,M.I.D,Libertarios
10,DE SANTI,MÓNICA EMILIA,F,MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,M.I.D,Libertarios
11,PEÑA,RODRIGO,M,MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO,M.I.D,Libertarios
1,PERETTA,MARCELO DANIEL,M,MOVIMIENTO PLURAL,MOVIMIENTO PLURAL,Libertarios
2,PERETTA ALEJANDRE,VALENTINA,F,MOVIMIENTO PLURAL,MOVIMIENTO PLURAL,Libertarios
3,GONZÁLEZ,FEDERICO FAUSTINO,M,MOVIMIENTO PLURAL,MOVIMIENTO PLURAL,Libertarios
4,NIETO,ELSA AURORA,F,MOVIMIENTO PLURAL,MOVIMIENTO PLURAL,Libertarios
5,ALTIERI,NAHUEL HORACIO,M,MOVIMIENTO PLURAL,MOVIMIENTO PLURAL,Libertarios
6,STARKER,MALVINA LILIANA,F,MOVIMIENTO PLURAL,MOVIMIENTO PLURAL,Libertarios
7,FERNÁNDEZ,ROBERTO ALEJANDRO,M,MOVIMIENTO PLURAL,MOVIMIENTO PLURAL,Libertarios
8,SALAS,VALENTINA AZUL,F,MOVIMIENTO PLURAL,MOVIMIENTO PLURAL,Libertarios
9,FERRI,JORGE ROSARIO,M,MOVIMIENTO PLURAL,MOVIMIENTO PLURAL,Libertarios
10,BONZO,MARÍA CECILIA ANALÍA,F,MOVIMIENTO PLURAL,MOVIMIENTO PLURAL,Libertarios
11,MARTÍNEZ,ELIODORO,M,MOVIMIENTO PLURAL,MOVIMIENTO PLURAL,Libertarios
1,ABAL MEDINA,JUAN MANUEL,M,SEAMOS LIBRES,SEAMOS LIBRES,Peronismo
2,PAPALEO,CAROLINA ALEJANDRA,F,SEAMOS LIBRES,SEAMOS LIBRES,Peronismo
3,BERCOVICH,PABLO,M,SEAMOS LIBRES,SEAMOS LIBRES,Peronismo
4,GARCIA VALLADARES,SOL MARIA,F,SEAMOS LIBRES,SEAMOS LIBRES,Peronismo
5,GALVANO,PATRICIO,M,SEAMOS LIBRES,SEAMOS LIBRES,Peronismo
6,GODOY,CAMILA JULIETA,F,SEAMOS LIBRES,SEAMOS LIBRES,Peronismo
7,DE FLORIAN,DANIEL ENRIQUE,M,SEAMOS LIBRES,SEAMOS LIBRES,Peronismo
8,FREDES,CELIA VANESA,F,SEAMOS LIBRES,SEAMOS LIBRES,Peronismo
9,DIAZ,LUIS ALFREDO,M,SEAMOS LIBRES,SEAMOS LIBRES,Peronismo
10,FLEJSZ,BEATRIZ PAULA,F,SEAMOS LIBRES,SEAMOS LIBRES,Peronismo
11,FLAX,MARTIN SEBASTIAN,M,SEAMOS LIBRES,SEAMOS LIBRES,Peronismo
1,MARRA,RAMIRO DANIEL,M,UNION DEL CENTRO DEMOCRÁTICO,UCeDe,Libertarios
2,MICHITTE,NABILA,F,UNION DEL CENTRO DEMOCRÁTICO,UCeDe,Libertarios
3,DEL PIANO,EDUARDO,M,UNION DEL CENTRO DEMOCRÁTICO,UCeDe,Libertarios
4,SANTAGADA,ANTONELLA BELEN,F,UNION DEL CENTRO DEMOCRÁTICO,UCeDe,Libertarios
5,RODRIGUEZ DE LA TORRE,SEBASTIAN,M,UNION DEL CENTRO DEMOCRÁTICO,UCeDe,Libertarios
6,BENEGAS,ABRIL,F,UNION DEL CENTRO DEMOCRÁTICO,UCeDe,Libertarios
7,FURMAN,MARTIN,M,UNION DEL CENTRO DEMOCRÁTICO,UCeDe,Libertarios
8,BRIZUELA ACOSTA,VICTORIA,F,UNION DEL CENTRO DEMOCRÁTICO,UCeDe,Libertarios
9,LECKIE,AMIEL MARIANO,M,UNION DEL CENTRO DEMOCRÁTICO,UCeDe,Libertarios
10,MARTINEZ CACERES,CARLA,F,UNION DEL CENTRO DEMOCRÁTICO,UCeDe,Libertarios
11,ARANDA,JOSUE GUSTAVO,M,UNION DEL CENTRO DEMOCRÁTICO,UCeDe,Libertarios
1,WINOKUR,FEDERICO,M,LA IZQUIERDA EN LA CIUDAD,LA IZQUIERDA EN LA CIUDAD,Izquierda
2,AZRIEL ALONSO,VIOLETA,F,LA IZQUIERDA EN LA CIUDAD,LA IZQUIERDA EN LA CIUDAD,Izquierda
3,LEIVA,ENRIQUE ALEJANDRO,M,LA IZQUIERDA EN LA CIUDAD,LA IZQUIERDA EN LA CIUDAD,Izquierda
4,D AMBROSIO ROMERO,MARIA BELEN,F,LA IZQUIERDA EN LA CIUDAD,LA IZQUIERDA EN LA CIUDAD,Izquierda
5,BRITO,MATÍAS EMILIANO,M,LA IZQUIERDA EN LA CIUDAD,LA IZQUIERDA EN LA CIUDAD,Izquierda
6,RUEDA KRAMER,MARIANA,F,LA IZQUIERDA EN LA CIUDAD,LA IZQUIERDA EN LA CIUDAD,Izquierda
7,SAENZ,ROBERTO,M,LA IZQUIERDA EN LA CIUDAD,LA IZQUIERDA EN LA CIUDAD,Izquierda
8,HIDALGO ROBLES,MARINA,F,LA IZQUIERDA EN LA CIUDAD,LA IZQUIERDA EN LA CIUDAD,Izquierda
9,LUCIANO,JULIAN NAHUEL,M,LA IZQUIERDA EN LA CIUDAD,LA IZQUIERDA EN LA CIUDAD,Izquierda
10,HAEBERER,NATACHA,F,LA IZQUIERDA EN LA CIUDAD,LA IZQUIERDA EN LA CIUDAD,Izquierda
11,PARDO CALDERON,JUAN PABLO,M,LA IZQUIERDA EN LA CIUDAD,LA IZQUIERDA EN LA CIUDAD,Izquierda
1,ZURBRIGGEN SCHALLER,MILA,F,EL MOVIMIENTO,EL MOVIMIENTO,Libertarios
2,ARIAS,LUCAS PABLO,M,EL MOVIMIENTO,EL MOVIMIENTO,Libertarios
3,GOLDSMAN,JULIETA,F,EL MOVIMIENTO,EL MOVIMIENTO,Libertarios
4,LEVIN,CAMILO,M,EL MOVIMIENTO,EL MOVIMIENTO,Libertarios
5,CIGARRÁN,CARINA,F,EL MOVIMIENTO,EL MOVIMIENTO,Libertarios
6,SUSBIELLES,LAUTARO GASTON CESAR,M,EL MOVIMIENTO,EL MOVIMIENTO,Libertarios
7,PANAL,MACARENA CECILIA,F,EL MOVIMIENTO,EL MOVIMIENTO,Libertarios
8,SPENA,ULISES ALEJANDRO,M,EL MOVIMIENTO,EL MOVIMIENTO,Libertarios
9,FERREYRA,JULIETA SOFIA,F,EL MOVIMIENTO,EL MOVIMIENTO,Libertarios
10,ROMERO,ERNESTO MANUEL,M,EL MOVIMIENTO,EL MOVIMIENTO,Libertarios
11,BENGIELSDORF,MARISA DÉBORA,F,EL MOVIMIENTO,EL MOVIMIENTO,Libertarios
